row,material,property,value,unit,source,printed_page,table,status_t0,note
1,"Berea sandstone, Mississippian","density, dry",2.23-2.54,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
2,"Berea sandstone, Mississippian","density, water saturated",2.40-2.59,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
3,"Domengine sandstone, Eocene","density, dry",2.56-2.63,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
4,"Domengine sandstone, Eocene","density, water saturated",2.67-2.73,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
5,"Dakota sandstone, Cretaceous","density, dry",1.65-1.76,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
6,"Dakota sandstone, Cretaceous","density, water saturated",2.03-2.10,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
7,"St. Peter sandstone, Ordovician","density, dry",2.28-2.55,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
8,"St. Peter sandstone, Ordovician","density, water saturated",2.42-2.59,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
9,"Hamilton shale, Devonian","density, dry",2.32,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
10,"Hamilton shale, Devonian","density, water saturated",2.43-2.44,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
11,"Nonesuch shale, pre-Cambrian (White Pine host)","density, dry",2.80,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
12,"Carlyle shale, Cretaceous","density, dry",2.00,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
13,"Carlyle shale, Cretaceous","density, water saturated",2.24,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
14,"Bearpaw shale, Cretaceous","density, dry",1.57,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
15,"Bearpaw shale, Cretaceous","density, water saturated",1.98,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
16,"Greenhorn limestone, Cretaceous","density, dry",1.74,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
17,"Greenhorn limestone, Cretaceous","density, water saturated",2.12,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
18,Oolitic limestone,"density, dry",2.16,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
19,Oolitic limestone,"density, water saturated",2.36,g/cm3,"Dobrin, M.B. 1960, Introduction to Geophysical Prospecting, 2nd ed., McGraw-Hill",250,Table 12-1,pre-t0,
